Source path,Class name,Checksum,Description,Responsibility,Pattern 1,Pattern 2,Pattern 3,Inference time (ms),Input tokens,Output tokens
exist-core/src/main/java/org/exist/xmlrpc/XmldbRequestProcessorFactory.java,org.exist.xmlrpc.XmldbRequestProcessorFactory,39e06abd35558781ae8979f9d6a1da6f15e5fb71d939a0bdc4a670bd0ea65892,"This factory is responsible for creating and initializing XML-RPC request handlers, specifically for eXist, ensuring each handler is properly set up.",Handler Factory,Factory Method,Dependency Injection,,748,778,98
exist-core/src/main/java/org/exist/xmlrpc/QueryResultCache.java,org.exist.xmlrpc.QueryResultCache,ca731a9261a42c2ff44934cd4e5ea92b4deae98ed17fdba213301e72f88dccb5,"This class provides a mechanism to store and retrieve query results, identified by unique integer IDs, for efficient caching and reuse.",Query Caching,Cache,Concurrency Safe,,720,763,94
exist-core/src/main/java/org/exist/xmlrpc/QueryResult.java,org.exist.xmlrpc.QueryResult,eac92b5a549776a1073105c66454049281dcfb353154677cf12d1cb64f36fec0,"This class acts as a container to store and cache the outcome of a query, allowing for later retrieval of the results or any associated errors. It is designed to hold a sequence of results or an exception, along with properties related to serialization and query execution time.",Query Caching,Value Object,Container,,598,648,122
exist-core/src/main/java/org/exist/xmlrpc/ACEAiderSerializer.java,org.exist.xmlrpc.ACEAiderSerializer,277b287037b27bd398e24b00c2acc7b345f18e81cf833582191794e9c94a401a,Serializes ACEAider objects into XML-RPC format.,XML Serialization,Adapter,Type Serialization,,758,626,81
exist-core/src/main/java/org/exist/xmlrpc/TupleParser.java,org.exist.xmlrpc.TupleParser,b7540d60d5487f47bdeb3d9db6d54a47021ebd6f94dbc9cec1e04f9226051f83,"This class parses XML-RPC types, specifically handling the structure of sub-classes of `Tuple`, by recursively processing XML elements to reconstruct tuple objects.",Tuple Parsing,Recursive descent,Visitor,,933,835,99
exist-core/src/main/java/org/exist/xmlrpc/SerializedResult.java,org.exist.xmlrpc.SerializedResult,ba038f8b697f59cc02563ed11e911ef2fc0f85281bae086c083b59402779c5c0,"This class acts as a container to hold and cache the results of a query, allowing for later retrieval by the client and manages the cleanup of temporary files.",Query Result Caching,Value Object,Repository,,773,511,102
exist-core/src/main/java/org/exist/xmlrpc/ACEAiderParser.java,org.exist.xmlrpc.ACEAiderParser,7a9ecad2f88b2efff784f8190694566acaf3d2f3d96cb68f4eac6e05b9ead7f8,This class serves as an XML-RPC parser specifically designed to interpret and transform XML representations of ACEAider objects into their corresponding Java object structure.,XML Parsing,Visitor,Builder,Recursion,707,854,115
exist-core/src/main/java/org/exist/storage/StorageAddress.java,org.exist.storage.StorageAddress,8b002d9915ee126b305270d18f2744435b9d5e3b09945b62e92888d1b5cb2d27,"This class represents and manipulates virtual storage addresses within a paged file system, encoding page numbers, tuple identifiers, and type indicators into a single 64-bit value.",Address management,Value Object,Utility Class,,771,1248,106
exist-core/src/main/java/org/exist/storage/BrokerPoolConstants.java,org.exist.storage.BrokerPoolConstants,55ef362511115fbd6dfb2bea9a9c000563cd18f1eec17d016edf107c1710d753,"This interface defines a collection of static constants used for configuring and signaling states within a broker pool, intended to declutter the main `BrokerPool` class by externalizing these values.",Configuration & Constants,Constant,,,523,1277,88
exist-core/src/main/java/org/exist/storage/TermMatcher.java,org.exist.storage.TermMatcher,0f63ef9ccb815f4d2c26d80745eaa8f73bcf4a594e6176a7625c9318dd09a4f7,This interface defines a contract for checking if a sequence of characters matches a specific term or pattern.,Term matching,Strategy,Interface,,617,463,87
exist-core/src/main/java/org/exist/storage/Signatures.java,org.exist.storage.Signatures,23bbe4f19d3bcbe5abacddf0bb72140ed32f224f219992f7a2041ff67086e203,"This class provides utility methods for encoding and decoding information about node types and their storage size from a byte signature, which is stored as the first byte of node data in a persistent DOM.",Signature Handling,Utility Class,Bit Manipulation,,784,1037,107
exist-core/src/main/java/org/exist/storage/BackupSystemTask.java,org.exist.storage.BackupSystemTask,b1acee8628e919e21c0886a66777bcba3b2ea85032c898b3c11c74057e229246,This class is responsible for creating XML backups of the database. It can output backups to a directory or a zip file and ensures data consistency by preventing other transactions during the backup process.,Database Backup,Task,Configuration,System Integration,706,1098,122
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$State,eebeaf3f4cf6a3d10a11a70df45e4a118957f680550d89cd59fd15f81c8ed336,"This enum defines the possible states a BrokerPool can be in, ranging from initialization through operational status to various shutdown phases.",Lifecycle states,,,,588,443,55
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$Event,9301e42d8175cf53e8ca571578ce0d9e99a9a97471349941bb6439f9bb62ab38,"This class defines a set of enumerated event types used for managing the initialization and shutdown states of a system, including specific modes like multi-user mode.",State management,,,,561,433,61
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$StatusReporter,0779f83bf592106a9bfe5d5c321e2e368b57aa56d60a1c2b3364c74db023d7be,"This class acts as a publisher of system status updates. It allows for setting and updating the status, and notifies any registered observers of these changes. It also provides a mechanism to signal the termination of its reporting activity and ensures that any threads waiting on its status are released.",Status Reporting,Observer,Observable,Threadsafe,632,548,140
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$TraceableBrokerLeaseChange$Change,48edfeda26998f391def67161346259e21424b27cb7cdf93029c4d8b9107df25,This enum defines the two possible states for a change: getting a resource or releasing it.,Change state,,,,493,377,49
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$TraceableBrokerLeaseChange$BrokerInfo,6d58612db9f621752f5ce5e0703e70337e7c3ef13fc6ecc425f2a2e86bb136ed,"This class represents immutable information about a broker, storing its unique identifier and a reference count.",Broker Data,,,,475,404,49
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$TraceableBrokerLeaseChange,48e4dbb81faa1fda7d83a5dfe86803704d7d4f2c0cadbd0a01633014c8f85ea5,"This class is used for tracing changes related to broker leases, specifically when brokers are acquired or released, and tracks their reference counts.",Broker Lease Tracing,Traceable State,,,695,665,81
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool,e637ec4cc738d192b9cc6c9f9d6d2eba310bbf2ce9bca6864539bb1b712316d9,"This class manages all instances of a database, providing functionality to configure, start, stop, and retrieve individual database instances, each with its own settings and resources.",Database instance management,State Machine,Service Locator,Factory,949,7365,120
exist-core/src/main/java/org/exist/storage/QNameRangeIndexSpec.java,org.exist.storage.QNameRangeIndexSpec,fafcd081a606cba29e715dd017135c2fd213a7c1bba4c0d68ce03b93195e43a3,"This class defines the specification for a range index based on a qualified name (QName), storing the namespaces and name used to construct the QName.",Index Specification,Value Object,Builder,,649,436,99
exist-core/src/main/java/org/exist/storage/BrokerPoolServicesManagerException.java,org.exist.storage.BrokerPoolServicesManagerException,6fb153dd2a50aace40048edf1261a0a861ef11002a076c7f8086e336902d5e99,"This class represents an exception that aggregates multiple service-specific exceptions encountered within a broker pool, allowing for the reporting of all encountered errors.",Error Aggregation,,,,665,475,59
exist-core/src/main/java/org/exist/storage/BufferStats.java,org.exist.storage.BufferStats,d8299f39a458c2aedb4f38a3064555c302b58f080506974da83f140454ba4eec,"This class encapsulates statistics related to a buffer, tracking its total size, current usage, and the number of page hits and failures.",Buffer statistics,Value Object,Immutable,,584,535,95
exist-core/src/main/java/org/exist/storage/cache/LRUCache.java,org.exist.storage.cache.LRUCache,fafa895943004b396b309d29022279cd20ac07b8299248ac5fd16a564dccf408,"This class implements a cache with a Last Recently Used (LRU) eviction policy, storing cacheable items and managing their lifecycle based on usage.",LRU Caching,Cache-Aside,Eviction Policy,,590,1262,103
exist-core/src/main/java/org/exist/storage/cache/Cacheable.java,org.exist.storage.cache.Cacheable,a321d8f1f76d55b04470e23a924208add7480dbbe053145716e578511d67ec65,"This interface defines the contract for objects that can be stored in a cache, requiring them to provide a unique key, manage a reference count, and support timestamping and pre-eviction cleanup.",Cacheable Object,Marker Interface,Reference Counting,,639,1123,110
exist-core/src/main/java/org/exist/storage/cache/Accounting.java,org.exist.storage.cache.Accounting,495c0127b7b32efa2199f666d423151d397e913b0fe6d561031649c3f5ce7b94,"This class tracks cache performance metrics such as hits, misses, and thrashing, and uses this information to determine if the cache needs to be resized to improve efficiency.",Cache Metrics,Singleton,Monitor,Strategy,657,1369,118
exist-core/src/main/java/org/exist/storage/cache/BTreeCache.java,org.exist.storage.cache.BTreeCache,a1d6313898cfad2b31ed4d17f0599726cd16767dcd889655f04747bc47ca2993,This class implements a cache that prioritizes keeping inner B-tree pages in memory while allowing leaf pages to be evicted based on usage.,Page Caching,Cache-Aside,LRU Eviction,,525,575,101
exist-core/src/main/java/org/exist/storage/cache/LRDCache.java,org.exist.storage.cache.LRDCache,dce056930f8ffb8845a1eefdabad596dcba602d113bb4b0f8384efb63546908f,"This class implements a cache with a Least Reference Density (LRD) replacement policy, managing items based on their reference counts and age to optimize cache performance and prevent stale data.",Cache Management,Eviction Policy,Cache,Reference Counting,682,936,123
exist-core/src/main/java/org/exist/storage/cache/Cache.java,org.exist.storage.cache.Cache$CacheType,9ed01158c5900458d1822a0d4738c2727b6558fd85fcd8c47a74934be3327148,This enum defines the distinct types of caches supported by the system: BTREE and DATA.,Cache types,,,,494,378,49
exist-core/src/main/java/org/exist/storage/cache/Cache.java,org.exist.storage.cache.Cache,a5198a79ebe8991b23e4292b97f0e0bcaf90757dfea44448e5a5553f2cadff8a,"This interface defines the contract for cache implementations used to buffer btree and data pages, providing methods for adding, retrieving, removing, and managing cache items and their state.",Cache Buffering,Strategy,Interface Segregation,,613,1640,105
exist-core/src/main/java/org/exist/storage/cache/BTreeCacheable.java,org.exist.storage.cache.BTreeCacheable,2900c3af461a5695e018d3901fa8f4e85fd038cee0ce1ef2d447bbabcaca54c8,This interface defines a contract for objects that can be cached and also indicates whether they represent an inner page within a B-tree structure.,Cacheable B-Tree,,,,378,383,61
exist-core/src/main/java/org/exist/storage/cache/GClockCache.java,org.exist.storage.cache.GClockCache,9a53e4b225c52bfae02938b6a16e20a9783f8c5411c46957c5ff7681b9130d2c,"This class implements a cache with a size-limited collection of items, prioritizing the eviction of less recently or less frequently used items to maintain performance. It manages items using reference counts and employs a GClock algorithm for item replacement when the cache is full.",Cache Management,Cache-Aside,Reference Counting,LFU/LRU Hybrid,992,1341,143
exist-core/src/main/java/org/exist/storage/sync/Sync.java,org.exist.storage.sync.Sync,d4c45568bd2f2285317e128a378e098ca84a2145b7e953714ba16a3ba49217a6,"This enum defines distinct levels of synchronization, likely used to control the frequency or scope of cache operations.",Sync Level,,,,603,400,51
exist-core/src/main/java/org/exist/storage/sync/SyncTask.java,org.exist.storage.sync.SyncTask,8bb4246faa62223e56b30a4af30f0096c1981f7499a994c9f7f8a4845918a453,"This class represents a synchronization task that manages database operations, including checking disk space, performing major or minor synchronization, and potentially switching the database to read-only mode if disk space is insufficient.",Sync Task,Strategy,Template Method,,748,712,107
exist-core/src/main/java/org/exist/storage/serializers/XmlSerializerPoolObjectFactory.java,org.exist.storage.serializers.XmlSerializerPoolObjectFactory,b6dfe9180ee76060ddccc1c2dd20fe19849b9bf11af72cd44a3c191f8fbf99f3,"This class manages a pool of Serializer objects, responsible for their creation, pooling, and resetting to ensure efficient reuse of serialization resources.",Object Pooling,Factory,Object Pool,,778,554,96
exist-core/src/main/java/org/exist/storage/serializers/CustomMatchListener.java,org.exist.storage.serializers.CustomMatchListener,8ab20772b60f0ef791b624441d7664b87ce32d2da1aad88213120fbcae70dd55,This abstract class serves as a foundation for creating custom filters that can modify the serialization output of the Serializer. It allows for the registration of these custom filters within the system's configuration.,Serialization Filtering,Template Method,Strategy,,650,506,107
exist-core/src/main/java/org/exist/storage/serializers/ChainOfReceivers.java,org.exist.storage.serializers.ChainOfReceivers,35f629b4ba21cbf74337d5ca1be84709e38409e32cc09df7014923ccfa4a6ac1,"This interface defines a receiver that is part of a chain, allowing for the sequential processing of events and providing methods to manage the chain's structure.",Chain management,Chain of Responsibility,Interface,,607,503,100
exist-core/src/main/java/org/exist/storage/serializers/WSDLFilter.java,org.exist.storage.serializers.WSDLFilter,aeb9bcff975439a96514cfaf230ea6f6bec448ad629f73f0deaab89d7084b361,"This class acts as a filter for WSDL documents, augmenting the 'definitions' element with specific XML namespace declarations for 'tns' and 'soapenc' during SAX parsing, before passing the modified stream to an output handler. It specifically addresses a workaround for the Xalan XSLT processor.",Namespace Augmentation,Decorator,Adapter,Stream Filter,1047,1727,148
exist-core/src/main/java/org/exist/storage/serializers/ChainOfReceiversFactory.java,org.exist.storage.serializers.ChainOfReceiversFactory,9f9a395d42a247b0b6a8dab7b7f99344473d31759562256a39f86a5e58b97021,"This factory is responsible for creating and managing a chain of receivers, allowing for sequential processing of requests.",Chain Factory,Builder,Factory Method,,371,478,89
exist-core/src/main/java/org/exist/storage/serializers/AbstractChainOfReceivers.java,org.exist.storage.serializers.AbstractChainOfReceivers,1a7323e1b66c83364d45fe86c9ac99dceb343bba6d043262ab8dbe5c6713424f,"This class acts as a base implementation for a chain of receivers, allowing subclasses to selectively handle events while ensuring that all events are passed to the next receiver in the chain by default.",Event forwarding,Chain of Responsibility,Template Method,Adapter,573,1429,124
exist-core/src/main/java/org/exist/storage/serializers/XIncludeFilter.java,org.exist.storage.serializers.XIncludeFilter$ResourceError,d4be3575b6bb765e1afa79e6da3e27ae6d462e7342baa3dc4a1b9e67d659605b,"This class represents a detailed error encountered during resource operations, capable of storing a descriptive message and an optional underlying exception.",Error representation,,,,420,421,54
exist-core/src/main/java/org/exist/storage/serializers/XIncludeFilter.java,org.exist.storage.serializers.XIncludeFilter,82f487dc713e7ba34d17fdcfb4be992e296d0bc83a91a6a88d0b0a2e62c1ecd7,"This class acts as a filter for an XML event stream, specifically designed to intercept and process XInclude elements. When an XInclude element is encountered, it attempts to embed the content of the referenced external resource at that position in the document, handling potential fallback mechanisms and errors during the inclusion process.",XInclude processing,Filter,Decorator,Receiver,895,2176,145
exist-core/src/main/java/org/exist/storage/serializers/EXistOutputKeys.java,org.exist.storage.serializers.EXistOutputKeys,02dd1193a62fe0a6a4ef0b488b68f0f4e91403fd027695ff18b53216fae43cc9,"This class defines a collection of constants representing configuration options for XML and JSON serialization, controlling aspects like output formatting, namespace handling, and specific serialization behaviors.",Serialization Options,,,,496,1273,61
exist-core/src/main/java/org/exist/storage/serializers/CustomMatchListenerFactory.java,org.exist.storage.serializers.CustomMatchListenerFactory,6f733286842b0519599b490060d9d1944e38c6f1ff146dc143d89b9fd16a35e0,"This class is responsible for creating and managing a linked list of custom match listeners, often used for filtering during serialization processes. It is instantiated per serializer and configured via system properties or provided class names.",Listener Management,Factory,Object Pool,,752,595,108
exist-core/src/main/java/org/exist/storage/serializers/NativeSerializer.java,org.exist.storage.serializers.NativeSerializer,f3982b247002bbb7ccfb621098d42fa8658fbf29f46261efd332db8f90d7a6bb,"This class serializes XML nodes to a receiver, handling various node types, namespaces, and attributes, and is specifically designed for a native database backend.",XML Serialization,Adapter,Strategy,,654,1039,98
exist-core/src/main/java/org/exist/storage/serializers/XmlSerializerPool.java,org.exist.storage.serializers.XmlSerializerPool,e8eb40269abc5b659687a83a5d02a74b46b76c4217b5a6fc929fec713391f22d,"Manages a pool of `Serializer` objects, providing a mechanism to borrow and return them for use within the application, optimizing resource utilization for XML serialization.",Serializer pooling,Pool,,,764,565,82
exist-core/src/main/java/org/exist/storage/serializers/Serializer.java,org.exist.storage.serializers.Serializer$InternalURIResolver,60cadf7f7b4307bcde3e0cd747960218a1b62a2995fb90847d36be08f7109a80,"This class provides custom resolution logic for XSLT include and import directives, enabling the transformer to locate and process stylesheets from various sources, including internal resources tied to a specific collection.",URI Resolution,Strategy,,,638,526,87
